GENEID,transcript count
ENSMUSG00000003380.12,6
ENSMUSG00000003382.19,5
ENSMUSG00000003402.15,5
ENSMUSG00000003410.9,3
ENSMUSG00000003411.11,4
ENSMUSG00000003418.12,1
ENSMUSG00000003420.9,5
ENSMUSG00000003421.14,10
ENSMUSG00000003423.16,7
ENSMUSG00000003429.12,4
ENSMUSG00000003435.10,7
ENSMUSG00000003436.12,2
ENSMUSG00000003437.15,7
ENSMUSG00000003438.18,4
ENSMUSG00000003444.9,1
ENSMUSG00000003452.16,9
ENSMUSG00000003458.13,6
ENSMUSG00000003464.14,6
ENSMUSG00000003469.10,2
ENSMUSG00000003476.17,2
ENSMUSG00000003477.6,1
ENSMUSG00000003484.5,3
ENSMUSG00000003500.14,8
ENSMUSG00000003518.14,7
ENSMUSG00000003526.13,9
ENSMUSG00000003527.10,3
ENSMUSG00000003528.16,6
ENSMUSG00000003531.16,8
ENSMUSG00000003534.18,12
ENSMUSG00000003541.7,1
ENSMUSG00000003545.4,7
ENSMUSG00000003546.11,2
ENSMUSG00000003549.10,10
ENSMUSG00000003559.9,5
ENSMUSG00000003573.16,8
ENSMUSG00000003575.14,5
ENSMUSG00000003581.15,3
ENSMUSG00000003585.14,6
ENSMUSG00000003604.15,3
ENSMUSG00000003617.17,10
ENSMUSG00000003623.5,2
ENSMUSG00000003644.18,7
ENSMUSG00000003657.10,2
ENSMUSG00000003660.11,5
ENSMUSG00000003662.11,4
ENSMUSG00000003665.8,2
ENSMUSG00000003680.17,9
ENSMUSG00000003721.15,11
ENSMUSG00000003731.14,6
ENSMUSG00000003746.17,8
ENSMUSG00000003752.10,2
ENSMUSG00000003762.14,6
ENSMUSG00000003778.15,8
ENSMUSG00000003779.17,5
ENSMUSG00000003808.19,6
ENSMUSG00000003809.15,3
ENSMUSG00000003810.15,12
ENSMUSG00000003812.14,9
ENSMUSG00000003813.16,7
ENSMUSG00000003814.9,4
ENSMUSG00000003824.13,3
ENSMUSG00000003847.17,14
ENSMUSG00000003848.15,5
ENSMUSG00000003849.9,1
ENSMUSG00000003863.19,8
ENSMUSG00000003865.17,6
ENSMUSG00000003868.15,8
ENSMUSG00000003872.10,6
ENSMUSG00000003873.12,6
ENSMUSG00000003882.6,3
ENSMUSG00000003923.15,5
ENSMUSG00000003929.12,3
ENSMUSG00000003934.6,1
ENSMUSG00000003948.18,2
ENSMUSG00000003949.17,4
ENSMUSG00000003955.9,4
ENSMUSG00000003970.10,3
ENSMUSG00000003974.7,1
ENSMUSG00000003992.16,10
ENSMUSG00000004018.10,4
ENSMUSG00000004031.14,3
ENSMUSG00000004032.11,6
ENSMUSG00000004035.13,5
ENSMUSG00000004038.10,1
ENSMUSG00000004040.17,7
ENSMUSG00000004043.15,3
ENSMUSG00000004044.10,2
ENSMUSG00000004054.10,5
ENSMUSG00000004056.16,12
ENSMUSG00000004069.18,5
ENSMUSG00000004070.16,6
ENSMUSG00000004071.14,7
ENSMUSG00000004085.15,3
ENSMUSG00000004096.10,4
ENSMUSG00000004098.8,1
ENSMUSG00000004099.17,7
ENSMUSG00000004100.13,5
ENSMUSG00000004105.9,2
ENSMUSG00000004110.18,9
ENSMUSG00000004113.19,9
ENSMUSG00000004127.13,6
ENSMUSG00000004151.18,13
ENSMUSG00000004187.12,6
ENSMUSG00000004207.15,5
ENSMUSG00000004221.17,16
ENSMUSG00000004231.16,2
ENSMUSG00000004233.15,4
ENSMUSG00000004263.16,3
ENSMUSG00000004264.18,7
ENSMUSG00000004266.16,5
ENSMUSG00000004267.17,16
ENSMUSG00000004268.12,6
ENSMUSG00000004270.14,7
ENSMUSG00000004285.13,3
ENSMUSG00000004317.15,4
ENSMUSG00000004319.16,10
ENSMUSG00000004328.16,3
ENSMUSG00000004341.9,2
ENSMUSG00000004347.18,14
ENSMUSG00000004356.9,3
ENSMUSG00000004360.10,3
ENSMUSG00000004364.15,6
ENSMUSG00000004366.5,1
ENSMUSG00000004371.16,1
ENSMUSG00000004383.19,4
ENSMUSG00000004393.11,4
ENSMUSG00000004394.13,3
ENSMUSG00000004415.16,5
ENSMUSG00000004446.13,2
ENSMUSG00000004451.15,2
ENSMUSG00000004455.17,10
ENSMUSG00000004460.18,4
ENSMUSG00000004462.8,6
ENSMUSG00000004473.11,1
ENSMUSG00000004500.10,3
ENSMUSG00000004508.7,2
ENSMUSG00000004530.13,5
ENSMUSG00000004535.13,7
ENSMUSG00000004558.16,13
ENSMUSG00000004561.15,16
ENSMUSG00000004562.17,21
ENSMUSG00000004565.16,16
